GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.socket,SocketServerGameController,88,104,9,4,15,27,5,9,0,7
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.socket,SocketServerLobbyController,13,65,2,3,2,17,2,5,0,4
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.socket,SocketConnectionServerController,78,365,4,8,23,86,6,20,2,18
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.socket,ServerSocketManagerImpl,6,8,0,0,2,2,1,1,1,1
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.socket,SocketLobbyServerUpdater,18,56,0,0,6,17,0,5,0,5
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.socket,SocketServerGameUpdater,54,110,0,0,18,35,0,11,0,11
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.rmi,RmiConnectionServerController.PlayerConnection,0,53,1,1,0,20,1,7,0,7
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.rmi,RmiConnectionServerController,42,136,0,2,13,33,1,8,1,7
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.rmi,RmiLobbyServerController,10,28,0,0,4,11,0,3,0,3
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.rmi,RmiConnectionServerController.ConnectedControllerImpl,19,80,0,0,6,12,0,4,0,4
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.rmi,RmiGameServerController,10,31,0,0,4,11,0,3,0,3
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerGame,0,323,2,34,0,50,2,33,0,17
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerGameAndController,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerLobbyAndController,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerCommonGoal,0,73,0,8,0,13,0,10,0,6
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerLobby,0,102,0,10,0,17,0,12,0,7
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerPlayer,0,170,1,15,0,26,1,17,0,10
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerLobbyView,0,84,1,23,0,8,1,16,0,5
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.controller,ServerController,83,1011,20,60,14,211,21,71,4,48
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.controller,LockProtected,15,39,2,0,2,12,3,6,2,6
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.controller,LockProtected.new LockProtected.LockCloseable() {...},0,15,0,0,0,4,0,3,0,3
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.controller,LockProtected.new LockProtected.LockCloseable() {...},3,3,0,0,2,1,2,1,2,1
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.controller,GameServerController,5,505,4,59,3,107,4,47,0,18
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.controller,PublicScoreProvider,5,210,0,11,2,45,1,22,1,15
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.controller,BaseServerConnection,15,125,0,4,4,39,0,16,0,14
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.controller,PrivateScoreProvider,5,100,0,0,2,25,1,9,1,9
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.controller,LobbyServerController,0,1443,1,29,0,83,1,30,0,16
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,LobbyReceivedPacket,0,3,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,MakeMovePacket,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,CreateGamePacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,NickNotValidReceivedPacket,0,3,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdateMessagePacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdateAchievedCommonGoalPacket,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,HeartbeatPong,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdateJoinedPlayerPacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdateSuspendedPacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdatePlayerReadyPacket,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,NickNotValidPacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,ReadyPacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdatePlayerScorePacket,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,JoinPacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdatePlayerShelfieTilePacket,0,15,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,LobbyPacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdateCurrentTurnPacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdateBoardTilePacket,0,12,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdateEndGamePacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,HeartbeatPing,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,SendMessagePacket,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,JoinGamePacket,0,3,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,RequiredPlayersPacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,JoinedPacket,0,3,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdateRequiredPlayersPacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdateFirstFinisherPacket,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket.packets,UpdatePlayerConnectedPacket,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,SimpleSeqPacket,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,NBlockingQueue,10,258,3,41,3,62,3,25,0,6
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,SocketManagerImpl.QueuedOutput,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,SeqAckPacket,0,12,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,NBlockingQueue.ProcessResultCtx,0,11,0,0,0,4,0,4,0,4
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,ClosePacket,0,3,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,SocketManagerImpl,164,680,14,58,28,158,17,49,3,27
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,NBlockingQueue.ProcessResult,0,21,0,0,0,4,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,NBlockingQueue.Node,0,33,0,0,0,8,0,3,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,SimpleAckPacket,0,3,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,SocketManagerImpl.PacketReplyContextImpl,16,78,2,4,2,18,2,8,0,7
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,CloseAckPacket,0,3,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.socket,NBlockingQueue.new Object() {...},2,3,0,0,1,1,1,1,1,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,PersonalGoal,0,2052,0,6,0,28,0,21,0,18
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,SerializableProperty.ObserverBody,4,49,2,2,2,9,2,6,0,6
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,CommonGoal,0,74,0,8,0,13,0,10,0,6
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Property,0,11,0,0,0,4,0,2,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,UserMessage,0,110,0,12,0,13,0,12,0,6
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Board,0,1810,0,114,0,91,0,91,0,33
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Lobby,0,186,0,16,0,32,0,22,0,14
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Shelfie,0,653,0,76,0,100,0,71,0,33
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Provider,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,LobbyPlayer,0,82,0,10,0,16,0,12,0,7
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Type.ImmutableColorMatrix,0,13,0,0,0,4,0,2,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Type,0,1975,0,0,0,21,0,5,0,5
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,GameView,0,5,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,MappedProvider,0,135,0,4,0,23,0,16,0,14
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,SerializableProperty.ObserverInsertion,0,33,0,4,0,7,0,4,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,LobbyView,0,20,0,4,0,2,0,3,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,PropertyProxy,0,58,0,2,0,20,0,11,0,10
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,BoardCoord,0,16,0,0,0,3,0,2,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Color,0,39,0,0,0,7,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Tile,0,57,0,6,0,15,0,10,0,7
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Player,0,195,0,18,0,29,0,20,0,11
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Game,0,439,0,40,0,65,0,43,0,23
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,TileAndCoords,0,19,0,0,0,2,0,2,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,SerializableProperty,0,192,0,10,0,42,0,17,0,12
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,AllCornersCommonGoalChecker,0,55,0,8,0,5,0,6,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,ThreeColumnsCommonGoalChecker,0,113,0,24,0,19,0,15,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,DiagonalCommonGoalChecker,0,149,0,30,0,22,0,18,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,TwoSquaresCommonGoalChecker,0,132,0,18,0,17,0,12,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,CrossCommonGoalChecker,0,130,0,16,0,19,0,11,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,FourRowsCommonGoalChecker,0,89,0,14,0,16,0,10,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,EightEqualTilesCommonGoalChecker,0,115,0,16,0,19,0,13,0,5
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,TwoAllDiffColumnsCommonGoalChecker,0,95,0,16,0,16,0,11,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,TriangleCommonGoalChecker,0,176,0,22,0,28,0,14,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,NickNotValidException,0,10,0,0,0,3,0,2,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,TwoAllDiffRowsCommonGoalChecker,0,87,0,14,0,15,0,10,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,SixCouplesCommonGoalChecker,0,131,0,24,0,17,0,15,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.controller,FourQuadripletsCommonGoalChecker,0,24,0,4,0,4,0,5,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,RMITimeoutClientSocketFactory,2,72,1,3,1,17,1,8,0,7
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,RmiAdapter,0,22,0,0,0,9,0,3,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,RmiLobbyController.Adapter,0,28,0,0,0,7,0,5,0,5
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,RmiGameController.Adapter,0,32,0,0,0,7,0,5,0,5
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,RmiGameUpdater.Adapter,0,132,0,0,0,23,0,21,0,21
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,UnicastRemoteObjects.DefaultExporter,4,0,0,0,1,0,1,0,1,0
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,UnicastRemoteObjects,12,17,0,0,3,3,3,3,3,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,UnicastRemoteObjects.FactoriesExporter,0,17,0,0,0,2,0,2,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,RmiLobbyUpdater.Adapter,0,53,0,0,0,10,0,9,0,9
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,RmiLobbyUpdaterFactory.Adapter,0,21,0,0,0,4,0,3,0,3
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,UnicastRemoteObjects.DefaultTrackingExporter,28,82,1,5,6,19,2,7,1,5
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.rmi,RmiHeartbeatHandler.Adapter,0,46,1,3,0,14,1,5,0,4
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.utils,ThreadPools,6,48,0,2,3,18,0,6,0,5
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw,NetworkConstants,0,13,0,0,0,3,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw,LobbyAndController,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw,DisconnectedException,12,4,0,0,6,2,3,1,3,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw,GameAndController,0,9,0,0,0,1,0,1,0,1
